index,Unnamed: 0,name,ratio,intensity,sd,maskArea,label,signal_norm,sd_norm
0,414,EjxQTSS_20.png,0.0532,983.1193,980.8793,0.6894,0,0.7103797806126682,0.34189375923351184
1,777,fOXACwt_39.png,0.0657,646.6677,1163.1916,0.5078,0,0.4802546531103444,0.37709950531638997
2,607,HnriOUB_6.png,0.0273,1684.3238,780.9817,0.8967,0,0.7490143875364402,0.22983322882680193
3,359,coZdpIv_26.png,0.0747,1155.0004,909.2812,0.4605,0,0.5830690773166642,0.2992602977991466
4,419,EjxQTSS_44.png,0.0437,1016.1821,1285.0624,0.4949,0,0.7342702124355818,0.4479193462290813
5,662,kGjWbIC_45.png,0.0527,360.7776,393.2182,0.6,0,0.7348651769252201,0.18164862731773634
6,669,UvHXQgO_11.png,0.082,1192.4241,802.3144,0.5259,0,0.5008453178047827,0.22316904331771456
7,567,tjgMrwV_41.png,0.0303,883.6448,761.4261,0.8437,0,0.6036467458451181,0.2648587786068418
8,722,wEWKLvg_40.png,0.051,1327.9001,1685.6316,0.928,0,0.8224009383780777,0.5101642502249725
9,426,RmLVAbD_13.png,0.0601,667.951,693.7144,0.4052,0,0.504640817665261,0.2508991925619351
10,1005,JDdhJkT_26.png,0.0467,1466.3249,1095.2718,0.5756,0,0.7689177483481305,0.3417747321248231
11,1136,SbeIrsL_27.png,0.0554,1116.2122,950.9926,0.5846,0,0.6493088866655663,0.32781257138347536
12,73,uYtDsPt_29.png,0.0489,920.1487,682.0749,0.7365,0,0.5156973909364857,0.23507331786876548
13,357,coZdpIv_24.png,0.0468,981.3399,445.478,0.8105,0,0.49540151676746397,0.1466145774739082
14,1000,JDdhJkT_17.png,0.1019,1392.4448,1433.6786,0.6111,0,0.7301761842242895,0.44737308078971033
15,592,PDRlIQb_31.png,0.0521,798.8103,934.4486,0.5049,0,0.4266995826391093,0.31244444438381935
16,286,dtynfbY_4.png,0.0532,549.1387,454.0015,0.9482,0,0.6033221578912993,0.17769222900598133
17,422,RmLVAbD_6.png,0.0396,1451.0796,899.6263,0.9915,0,1.0962989737890652,0.3253723899597316
18,1113,hcDJBIU_35.png,0.0607,327.4866,362.9769,0.6479,0,0.2748100007710591,0.12022072484645617
19,1100,hcDJBIU_10.png,0.0475,1127.5735,1218.0655,0.6858,1,0.9462019954539385,0.40343260775123996
20,951,iXuZbaV_1.png,0.0657,1498.6143,1552.9533,0.4174,0,0.8360437864723957,0.5183614158538972
21,559,tjgMrwV_31.png,0.0501,609.6567,396.995,0.7342,1,0.41647648810661636,0.13809299525327956
22,885,uTSlUxF_23.png,0.0869,1410.0874,945.4754,0.4658,0,0.5902407008918129,0.29659705677890136
23,1099,hcDJBIU_5.png,0.0433,1517.48,1653.4921,0.9295,0,1.2733915829535216,0.5476492272370197
24,257,sqjAizt_9.png,0.0317,2772.243,2339.1564,0.511,0,1.4978617088578607,0.6975219953494245
25,923,qRJcFUA_41.png,0.0522,409.6117,396.5835,0.7,0,0.48220759015423303,0.16364815832074367
26,1135,SbeIrsL_24.png,0.0547,878.5742,713.5141,0.7505,0,0.5110731056828537,0.24595237843003845
27,979,iXuZbaV_38.png,0.0252,1489.3265,696.5957,0.8693,1,0.8308623281879003,0.232517187303531
28,688,UvHXQgO_41.png,0.0275,1669.6442,925.4908,0.837,0,0.7012886438389765,0.25743137158618407
29,522,IQPVeKR_14.png,0.0487,293.4223,462.7058,0.4669,0,0.4039337038123746,0.1844556166507476
30,1190,MIrpxsd_14.png,0.0248,1217.9194,858.5871,0.6561,1,1.069194123486535,0.32723396100278557
31,197,Pqvglgo_13.png,0.0889,2418.376,2272.6428,0.4101,0,0.9908375977854834,0.625842778986142
32,46,TeOqHsT_17.png,0.0595,566.122,685.6627,0.6042,0,0.45676152114281954,0.23656188050821064
33,524,IQPVeKR_16.png,0.0367,637.8313,930.0669,0.5399,0,0.8780571872569394,0.3707670480161459
34,436,RmLVAbD_30.png,0.0462,675.324,543.1361,0.4166,0,0.5102111615207923,0.19643877789078398
35,503,fWDuFNe_29.png,0.081,697.1328,420.4522,0.4616,0,0.40430982565067847,0.14042356697300903
36,803,fIpxGin_29.png,0.0695,1253.2842,898.4015,0.677,0,0.5662383470078947,0.28540265256557473
37,321,bAJaVqe_25.png,0.06,1014.9684,1002.0369,0.9232,0,0.7733854987334895,0.3223204246183628
38,809,fIpxGin_36.png,0.0484,1721.9238,1054.9636,0.528,0,0.7779714179637409,0.3351390328267795
39,660,kGjWbIC_42.png,0.0438,354.6771,355.7844,0.9399,0,0.7224391144096085,0.16435594253029087
40,171,vqFVsNv_19.png,0.0477,1572.001,1909.9794,0.4084,0,0.79573791607201,0.6040448004185592
41,211,Pqvglgo_36.png,0.0872,1407.1281,1180.1245,0.5361,0,0.5765172274205712,0.3249839335198788
42,785,fIpxGin_4.png,0.0579,1573.9881,1085.8164,0.4406,0,0.7111335321662052,0.34494029758321093
43,52,TeOqHsT_28.png,0.013,821.0573,708.2426,0.4989,1,0.6624497569312204,0.24435221766041004
44,922,qRJcFUA_39.png,0.0336,366.9571,427.7934,0.4305,0,0.4319932728508144,0.17652676435547424
45,920,qRJcFUA_36.png,0.0491,482.9302,425.9989,0.8103,0,0.5685204010400626,0.1757862730841365
46,620,HnriOUB_22.png,0.0565,1507.0215,1133.6689,0.7531,0,0.6701685185632048,0.3336246978738795
47,850,QyzxkxL_3.png,0.0505,565.9792,662.014,0.6827,0,0.4077858888221516,0.22108322857190338
48,398,hfEtaOr_43.png,0.0452,446.2348,338.7989,0.8656,0,0.6617962678191609,0.14606816015258706
49,631,HnriOUB_41.png,0.0354,2185.5593,2124.3649,0.7761,1,0.9719125031149422,0.62517424438156
50,591,PDRlIQb_30.png,0.0531,807.894,453.491,0.6826,0,0.43155181225960726,0.1516303235170587
51,1026,xLvSvzk_8.png,0.0509,424.7761,422.676,0.5908,0,0.43976092623526625,0.17051620598160017
52,926,IONGHON_2.png,0.0446,1403.3705,1828.8503,0.7006,0,1.0884982468649302,0.6829254334262373
